,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Lincoln,AU,64.6,clear sky,-34.73,135.87,Port Lincoln Hotel
8,Ushuaia,AR,69.8,scattered clouds,-54.8,-68.3,Albatros Hotel
14,Bluff,NZ,55.99,light rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
26,Cape Town,ZA,66.99,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
31,Busselton,AU,66.99,clear sky,-33.65,115.33,Observatory Guest House
34,Itoman,JP,64.4,scattered clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
50,Barcelos,PT,59.0,clear sky,41.54,-8.62,Hotel Do Terço
52,Zhuhai,CN,64.99,clear sky,22.28,113.57,珠海粤财假日酒店
56,Port Alfred,ZA,64.99,light rain,-33.59,26.89,The Halyards Hotel
58,Safaga,EG,60.8,clear sky,26.73,33.94,Lamar Resort Abu Soma
61,Codrington,AU,58.05,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
62,Victoria,HK,64.99,few clouds,22.29,114.16,Mini Hotel Central
65,Saldanha,ZA,68.0,overcast clouds,-33.01,17.94,Blue Bay Lodge
73,Bredasdorp,ZA,66.2,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
85,Esperance,AU,66.2,overcast clouds,-33.87,121.9,Hospitality Esperance
92,El Alto,PE,62.6,scattered clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
93,Delmas,ZA,64.99,light rain,-26.15,28.68,4 Seam Guest House
95,Hermanus,ZA,66.99,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
107,Mawlaik,MM,61.45,few clouds,23.63,94.42,AKZ Guest House
123,Buraydah,SA,66.2,clear sky,26.33,43.98,Mövenpick Hotel Qassim
126,Mataura,NZ,55.99,broken clouds,-46.19,168.86,Ellie's Villa
127,Flinders,AU,66.99,light rain,-34.58,150.86,Shellharbour Resort & Conference Centre
129,Saint-Denis,FR,55.0,overcast clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
136,Christchurch,NZ,57.99,clear sky,-43.53,172.63,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
139,Ponta Do Sol,PT,69.01,few clouds,32.67,-17.1,Hotel do Campo
141,Praia Da Vitoria,PT,60.8,scattered clouds,38.73,-27.07,Hotel Branco I
142,Waipawa,NZ,55.99,moderate rain,-41.41,175.52,Tora Coastal Walk
146,Camabatela,AO,66.27,light rain,-8.19,15.38,Pensão E Restaurantes
150,Kuruman,ZA,66.99,light rain,-27.45,23.43,Cornerstone Guest House
155,Nueva Helvecia,UY,69.01,clear sky,-34.3,-57.23,La Posada de Ofelia
159,Mar Del Plata,AR,64.4,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
169,Chuy,UY,67.87,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
170,Talcahuano,CL,68.0,few clouds,-36.72,-73.12,Hotel Terramar
171,Ribeira Grande,PT,59.0,broken clouds,38.52,-28.7,Quinta da Meia Eira
172,Gudari,IN,61.75,clear sky,19.35,83.78,Tirupati Hotel
187,Goulburn,AU,55.0,broken clouds,-34.75,149.72,Alpine Heritage Motel
196,Airai,TL,66.29,clear sky,-8.93,125.41,Juvinal Martin
197,Tulsipur,NP,55.56,clear sky,28.13,82.3,Ekanta Hotel Pvt. Ltd
201,Fenoarivo,MG,66.2,light rain,-18.93,47.44,Skyfol Ambodiafontsy
202,Talaja,IN,67.91,clear sky,21.35,72.05,Velvettas Resorts
203,Fortuna,US,55.99,overcast clouds,40.6,-124.16,Super 8 By Wyndham Fortuna
205,Kaili,ID,62.62,overcast clouds,-3.46,120.21,
214,Del Rio,US,66.2,clear sky,29.36,-100.9,Holiday Inn Express & Suites del Rio
220,Port Elizabeth,ZA,66.2,light intensity drizzle,-33.92,25.57,39 On Nile Guest House
227,Kruisfontein,ZA,63.36,light rain,-34.0,24.73,Oyster Bay House Rental
229,Coquimbo,CL,68.0,clear sky,-29.95,-71.34,Hotel San Juan
231,Avera,US,55.99,clear sky,33.19,-82.53,
232,Victor Harbor,AU,64.99,clear sky,-35.57,138.62,Apollon Motor Inn
233,Half Moon Bay,US,69.8,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
238,Los Llanos De Aridane,ES,68.0,clear sky,28.66,-17.92,Valle Aridane
239,Kaoma,ZM,68.31,broken clouds,-14.78,24.8,KAOMA AIRPORT
242,Sao Filipe,CV,67.42,broken clouds,14.9,-24.5,Tortuga B&B
245,Catamarca,AR,60.01,overcast clouds,-28.47,-65.79,Amerian Catamarca Park Hotel
246,Sterling,US,55.99,clear sky,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
247,Paita,PE,62.6,scattered clouds,-5.09,-81.11,Hotel Náutico de Paita
253,Chitradurga,IN,68.05,clear sky,14.23,76.4,V. G. S. Comforts
263,Pacific Grove,US,64.99,broken clouds,36.62,-121.92,Lovers Point Inn
269,Aloleng,PH,66.4,scattered clouds,16.13,119.78,Agno Umbrella Rocks
270,Constitucion,CL,62.53,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
272,Vila Franca Do Campo,PT,57.2,few clouds,37.72,-25.43,Pestana Bahia Praia
275,Tura,IN,67.06,scattered clouds,25.52,90.22,Hotel RIKMAN Continental
281,Lata,PT,57.0,clear sky,40.16,-8.33,Casa Maquia
282,Luderitz,,66.2,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
296,Tuatapere,NZ,55.99,scattered clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
297,Geraldton,AU,69.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
298,Rosetta,EG,59.0,scattered clouds,31.4,30.42,Green Valley
311,Port Macquarie,AU,66.2,broken clouds,-31.43,152.92,Rydges Port Macquarie
313,Springbok,ZA,61.56,clear sky,-29.66,17.89,Faithful Guest Lodge
316,Marrakesh,MA,69.8,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
324,Sur,OM,68.61,overcast clouds,22.57,59.53,Sur Plaza Hotel
333,Lebu,CL,66.42,few clouds,-37.62,-73.65,Hostal Las Lilas
345,Selma,US,66.0,broken clouds,36.57,-119.61,Holiday Inn Selma-Swancourt
346,Susanville,US,55.99,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
351,Saint George,US,62.6,overcast clouds,37.1,-113.58,Best Western Plus Abbey Inn Hotel & Conference Center
360,Tezu,IN,63.0,overcast clouds,27.92,96.17,Circuit House
362,Kutum,SD,58.91,few clouds,14.2,24.67,
363,Lompoc,US,64.99,few clouds,34.64,-120.46,Holiday Inn Express Lompoc
366,Asfi,MA,58.82,clear sky,32.3,-9.24,Hôtel Abda
369,Ponta Delgada,PT,57.2,few clouds,37.73,-25.67,Vila Nova Hotel
373,Waddan,LY,55.47,clear sky,29.16,16.14,محل الشريف محمد العايب
390,Caluquembe,AO,65.39,overcast clouds,-13.78,14.68,
394,Henties Bay,,64.99,clear sky,-22.12,14.28,Fishermans Guest House
404,Aswan,EG,64.4,clear sky,24.09,32.91,Nuba Nile
423,Wuzhou,CN,62.15,clear sky,23.48,111.32,Wuzhou Hostel
427,Allende,MX,60.8,scattered clouds,25.28,-100.02,Lugar en que estuvo Jorge.
435,Yilan,TW,64.0,light intensity drizzle,24.76,121.75,Dar Chen Hotel
443,Susangerd,IR,60.8,clear sky,31.56,48.18,نانوایی حبیب
444,Nambucca Heads,AU,66.2,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
448,Nouadhibou,MR,64.4,few clouds,20.93,-17.03,El Medina
452,Rocha,UY,64.8,scattered clouds,-34.48,-54.33,Beleza Pura B&B
458,Port Augusta,AU,62.01,clear sky,-32.5,137.77,Majestic Oasis Apartments
459,Camacha,PT,64.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
462,Mayo,US,55.99,clear sky,38.89,-76.51,Resorts Resource Group International
473,Henderson,US,57.0,moderate rain,36.04,-114.98,Hawthorn Suites By Wyndham Las Vegas/Henderson
476,Nizwa,OM,64.85,overcast clouds,22.93,57.53,Orient Apartments
477,Guerrero Negro,MX,63.82,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
479,Oxapampa,PE,57.02,moderate rain,-10.58,-75.4,Altares de Oxapampa
483,De Aar,ZA,66.56,clear sky,-30.65,24.01,Nyibiba Guesthouse
484,Hargeysa,SO,62.2,clear sky,9.56,44.06,Imperial Hotel
491,Sabratah,LY,59.02,overcast clouds,32.79,12.49,مقبرة المجاهديه
498,Veraval,IN,69.06,clear sky,20.9,70.37,Lords Inn Somnath
506,Quime,BO,58.41,light rain,-16.98,-67.22,Hostal Colibri
518,Cajati,BR,66.88,light rain,-24.74,-48.12,Hotel Cortesia
520,Riyadh,SA,68.0,clear sky,24.69,46.72,InterContinental Riyadh
521,Clarence Town,AU,68.0,overcast clouds,-32.58,151.78,River Downs Cottage
529,Kaputa,ZM,67.33,overcast clouds,-8.47,29.66,Chelelwa Charlets
530,Peniche,PT,64.99,clear sky,39.36,-9.38,Hotel Star inn Peniche
544,Gisborne,NZ,64.0,light rain,-38.65,178.0,ASURE Alfresco Motor Lodge
552,Finote Selam,ET,67.75,overcast clouds,10.7,37.27,Tsion Hotel
554,Lagoa Vermelha,BR,65.46,clear sky,-28.21,-51.53,Hotel Kaianã
567,Zambezi,ZM,69.71,moderate rain,-13.54,23.1,Royal Kutachika Lodge
573,San Roque,ES,59.0,clear sky,36.21,-5.38,Hotel Guadacorte Park
